IBMS Reports,,,,,,,,
All Applications Received - Extract,,,,,,,,
Selected District: ALL,,,,,,,,
Selected Folder Type: OZ,,,,,,,,
Selected Folder Status: ALL,,,,,,,,
Selected Period: 12/20/2021 To 01/02/2022,,,,,,,,
District,Application Type,File Number,Address,InDate,Status,Folder Description,Folder Name,ARoll
North York District,OPA / Rezoning,21 252354 NNY 17 OZ,26 GREENBRIAR RD    ,2021-12-31,Application Received,"Official Plan and Zoning by-law amendment application to facilitate the redevelopment of the site for a 46-storey residential building having a gross floor area of 24,320 square metres and containing 351 residential dwelling units.",22-36 GREENBRIAR RD,1908113050085000000
North York District,OPA / Rezoning,21 252354 NNY 17 OZ,28 GREENBRIAR RD    ,2021-12-31,Application Received,"Official Plan and Zoning by-law amendment application to facilitate the redevelopment of the site for a 46-storey residential building having a gross floor area of 24,320 square metres and containing 351 residential dwelling units.",22-36 GREENBRIAR RD,1908113050086000000
North York District,OPA / Rezoning,21 252354 NNY 17 OZ,30 GREENBRIAR RD    ,2021-12-31,Application Received,"Official Plan and Zoning by-law amendment application to facilitate the redevelopment of the site for a 46-storey residential building having a gross floor area of 24,320 square metres and containing 351 residential dwelling units.",22-36 GREENBRIAR RD,1908113050087000000
North York District,OPA / Rezoning,21 252354 NNY 17 OZ,32 GREENBRIAR RD    ,2021-12-31,Application Received,"Official Plan and Zoning by-law amendment application to facilitate the redevelopment of the site for a 46-storey residential building having a gross floor area of 24,320 square metres and containing 351 residential dwelling units.",22-36 GREENBRIAR RD,1908113050088000000
North York District,OPA / Rezoning,21 252354 NNY 17 OZ,34 GREENBRIAR RD    ,2021-12-31,Application Received,"Official Plan and Zoning by-law amendment application to facilitate the redevelopment of the site for a 46-storey residential building having a gross floor area of 24,320 square metres and containing 351 residential dwelling units.",22-36 GREENBRIAR RD,1908113050089000000
North York District,OPA / Rezoning,21 252354 NNY 17 OZ,36 GREENBRIAR RD    ,2021-12-31,Application Received,"Official Plan and Zoning by-law amendment application to facilitate the redevelopment of the site for a 46-storey residential building having a gross floor area of 24,320 square metres and containing 351 residential dwelling units.",22-36 GREENBRIAR RD,1908113050090000000
North York District,OPA / Rezoning,21 251194 NNY 08 OZ,782 MARLEE AVE    ,2021-12-23,Application Received,"Official Plan and Zoning by-law amendment application to facilitate the redevelopment of the site for a 12-storey residential building containing 301 dwelling units, and having a residential gross floor area of 19,085 square metres.",774 - 782 MARLEE AVE,1908041710034000000
North York District,OPA / Rezoning,21 251194 NNY 08 OZ,780 MARLEE AVE    ,2021-12-23,Application Received,"Official Plan and Zoning by-law amendment application to facilitate the redevelopment of the site for a 12-storey residential building containing 301 dwelling units, and having a residential gross floor area of 19,085 square metres.",774 - 782 MARLEE AVE,1908041710035000000
North York District,OPA / Rezoning,21 251194 NNY 08 OZ,778 MARLEE AVE    ,2021-12-23,Application Received,"Official Plan and Zoning by-law amendment application to facilitate the redevelopment of the site for a 12-storey residential building containing 301 dwelling units, and having a residential gross floor area of 19,085 square metres.",774 - 782 MARLEE AVE,1908041710036000000
North York District,OPA / Rezoning,21 251194 NNY 08 OZ,776 MARLEE AVE    ,2021-12-23,Application Received,"Official Plan and Zoning by-law amendment application to facilitate the redevelopment of the site for a 12-storey residential building containing 301 dwelling units, and having a residential gross floor area of 19,085 square metres.",774 - 782 MARLEE AVE,1908041710037000000
North York District,OPA / Rezoning,21 251194 NNY 08 OZ,774 MARLEE AVE    ,2021-12-23,Application Received,"Official Plan and Zoning by-law amendment application to facilitate the redevelopment of the site for a 12-storey residential building containing 301 dwelling units, and having a residential gross floor area of 19,085 square metres.",774 - 782 MARLEE AVE,1908041710038000000
Etobicoke York District,OPA / Rezoning,21 251071 WET 03 OZ,5251 DUNDAS ST  W  ,2021-12-23,Application Received,Proposed mixed use development of a 52 storey building. ,5251 DUNDAS ST W,1919031020025000000
Toronto and East York District,OPA / Rezoning,21 251437 STE 10 OZ,111 STRACHAN AVE    ,2021-12-24,Under Review ,"Official Plan and Zoning By-law amendment application to facilitate the redevelopment of the site for a 14 storey mixed-use building having a non-residential gross floor area of 339 square metres, and a residential gross floor area of 20,983 square metres.",109-127 STRACHAN AVE,1904041390005000000
Toronto and East York District,OPA / Rezoning,21 251437 STE 10 OZ,115 STRACHAN AVE    ,2021-12-24,Under Review ,"Official Plan and Zoning By-law amendment application to facilitate the redevelopment of the site for a 14 storey mixed-use building having a non-residential gross floor area of 339 square metres, and a residential gross floor area of 20,983 square metres.",109-127 STRACHAN AVE,1904041390007000000
